Date,-TBond Futures-Volume,-TBond Futures-Previous Day Open Interest,-TBond Futures-Open
2015-11-18,237901.0,457826.0,153.71875
2015-11-19,195052.0,457854.0,153.75
2015-11-20,439620.0,451635.0,154.53125
2015-11-23,228771.0,400526.0,154.40625
2015-11-24,318117.0,328519.0,155.125
2015-11-25,393978.0,196626.0,154.9375
2015-11-27,261794.0,98446.0,155.28125
2015-11-30,83861.0,72011.0,155.25
2015-12-01,60402.0,31111.0,155.75
2015-12-02,16564.0,26992.0,157.46875
2015-12-03,6625.0,25129.0,157.25
2015-12-04,13176.0,22397.0,153.9375
2015-12-07,10964.0,16895.0,154.9375
2015-12-08,3229.0,15347.0,156.375
2015-12-09,2020.0,14366.0,156.4375
2015-12-10,1456.0,13547.0,156.5
2015-12-11,2415.0,13426.0,156.75
2015-12-14,3188.0,12673.0,158.28125
2015-12-15,1097.0,10976.0,156.96875
2015-12-16,1099.0,8185.0,156.09375
2015-12-17,433.0,7903.0,156.375
2015-12-18,210.0,7373.0,157.40625
2015-12-21,444.0,6914.0,157.46875
2015-12-22,270.0,517388.0,156.34375
2015-12-23,115687.0,514314.0,155.21875
2015-12-24,132878.0,509436.0,154.34375
2015-12-28,46624.0,508066.0,155.0
2015-12-29,108515.0,505973.0,
2015-12-30,135032.0,504900.0,153.46875
2015-12-31,283396.0,504199.0,153.46875
2016-01-04,101947.0,497507.0,153.4375
2016-01-05,216082.0,490489.0,154.28125
2016-01-06,206201.0,491088.0,153.96875
2016-01-07,259303.0,495712.0,155.53125
2016-01-08,299909.0,493130.0,155.9375
2016-01-11,315687.0,497527.0,156.6875
2016-01-12,226153.0,501259.0,155.46875
2016-01-13,348173.0,508114.0,157.4375
2016-01-14,697614.0,510735.0,157.65625
2016-01-15,330180.0,513884.0,157.5625
2016-01-19,719794.0,527932.0,159.21875
2016-01-20,261578.0,528120.0,158.875
2016-01-21,372109.0,534892.0,160.46875
2016-01-22,338071.0,533104.0,159.375
2016-01-25,256687.0,533447.0,158.9375
2016-01-26,175316.0,532494.0,160.0625
2016-01-27,184017.0,533153.0,160.15625
2016-01-28,192506.0,529418.0,159.875
2016-01-29,273936.0,529269.0,
2016-02-01,315249.0,532929.0,161.25
2016-02-02,215904.0,535580.0,
2016-02-03,281249.0,545301.0,
2016-02-04,381173.0,542351.0,162.21875
2016-02-05,292500.0,547221.0,163.1875
2016-02-08,346374.0,552536.0,163.5
2016-02-09,349112.0,559490.0,165.6875
2016-02-10,375240.0,560568.0,166.25
2016-02-11,329883.0,558498.0,167.84375
2016-02-12,558537.0,558416.0,168.21875
2016-02-16,334432.0,557672.0,166.3125
2016-02-17,315964.0,555138.0,165.78125
2016-02-18,294867.0,546435.0,164.5625
2016-02-19,260782.0,549118.0,166.5625
2016-02-22,278043.0,534542.0,166.53125
2016-02-23,218233.0,485048.0,166.46875
2016-02-24,436638.0,375311.0,167.09375
2016-02-25,537126.0,275476.0,166.40625
2016-02-26,484541.0,112313.0,166.84375
2016-02-29,271644.0,53242.0,165.53125
2016-03-01,55058.0,38549.0,165.96875
2016-03-02,19470.0,30582.0,163.84375
2016-03-03,13250.0,20874.0,164.15625
2016-03-04,3911.0,18276.0,164.78125
2016-03-07,6613.0,16102.0,163.78125
2016-03-08,3713.0,14571.0,163.625
2016-03-09,2779.0,13091.0,165.3125
2016-03-10,902.0,12840.0,164.78125
2016-03-11,1789.0,11650.0,163.78125
2016-03-14,829.0,11308.0,162.5
2016-03-15,573.0,10915.0,162.8125
2016-03-16,2290.0,8883.0,163.0
2016-03-17,4224.0,2863.0,163.3125
2016-03-18,357.0,2424.0,164.21875
2016-03-21,2361.0,436.0,164.59375
2016-03-22,423.0,489526.0,161.90625
2016-03-23,207947.0,491880.0,161.75
2016-03-24,201961.0,501174.0,163.28125
2016-03-28,184995.0,499826.0,162.90625
2016-03-29,101881.0,499362.0,163.1875
2016-03-30,204270.0,504529.0,164.59375
2016-03-31,244876.0,503086.0,163.59375
2016-04-01,230147.0,506641.0,164.5625
2016-04-04,246466.0,510092.0,164.90625
2016-04-05,133815.0,510389.0,165.0
2016-04-06,202420.0,517080.0,166.21875
2016-04-07,176051.0,514892.0,165.3125
2016-04-08,190761.0,519794.0,167.09375
2016-04-11,162121.0,516972.0,166.25
2016-04-12,155022.0,518520.0,166.0
2016-04-13,181691.0,528853.0,165.125
2016-04-14,196014.0,536691.0,165.6875
2016-04-15,234805.0,542508.0,165.1875
2016-04-18,177817.0,546517.0,166.4375
2016-04-19,193044.0,537408.0,165.53125
2016-04-20,205911.0,541681.0,165.09375
2016-04-21,277307.0,542384.0,163.53125
2016-04-22,279707.0,527610.0,162.84375
2016-04-25,196318.0,523387.0,162.46875
2016-04-26,171544.0,521658.0,161.75
2016-04-27,215986.0,518404.0,161.25
2016-04-28,216484.0,518590.0,162.59375
2016-04-29,236636.0,518313.0,163.09375
2016-05-02,275484.0,508859.0,163.03125
2016-05-03,183418.0,508777.0,161.9375
2016-05-04,266192.0,506580.0,163.84375
2016-05-05,204556.0,507578.0,164.5625
2016-05-06,217784.0,513511.0,165.375
2016-05-09,260937.0,513607.0,165.0625
2016-05-10,175451.0,514905.0,165.78125
2016-05-11,196344.0,516625.0,165.5625
2016-05-12,203672.0,526101.0,166.21875
2016-05-13,500857.0,525277.0,165.59375
2016-05-16,256263.0,535127.0,166.71875
2016-05-17,187682.0,523541.0,165.5625
2016-05-18,224719.0,526788.0,165.46875
2016-05-19,365410.0,517806.0,163.6875
2016-05-20,259843.0,501435.0,164.15625
2016-05-23,184227.0,494041.0,164.28125
2016-05-24,203039.0,459201.0,164.65625
2016-05-25,329705.0,369136.0,164.09375
2016-05-26,411600.0,205796.0,163.71875
2016-05-27,333534.0,103797.0,164.28125
2016-05-31,212416.0,50636.0,164.0
2016-06-01,55576.0,36036.0,164.34375
2016-06-02,24010.0,25123.0,165.1875
2016-06-03,8686.0,22021.0,166.15625
2016-06-06,16015.0,14676.0,168.15625
2016-06-07,5208.0,12918.0,167.28125
2016-06-08,4409.0,10860.0,167.75
2016-06-09,1641.0,10239.0,168.3125
2016-06-10,3200.0,7971.0,168.90625
2016-06-13,989.0,7455.0,169.8125
2016-06-14,1705.0,6196.0,170.34375
2016-06-15,1374.0,5435.0,170.375
2016-06-16,2716.0,3195.0,171.71875
2016-06-17,490.0,2914.0,171.0
2016-06-20,1021.0,2021.0,170.3125
2016-06-21,1230.0,1120.0,169.4375
2016-06-22,271.0,583329.0,167.28125
2016-06-23,157862.0,582891.0,167.46875
2016-06-24,192842.0,579654.0,165.84375
2016-06-27,498909.0,566410.0,171.125
2016-06-28,261134.0,555966.0,173.46875
2016-06-29,233400.0,552177.0,173.125
2016-06-30,249394.0,548975.0,172.03125
2016-07-01,814656.0,554769.0,172.6875
2016-07-05,276027.0,559142.0,174.40625
2016-07-06,240304.0,566716.0,175.84375
2016-07-07,281773.0,568609.0,176.25
2016-07-08,243967.0,565818.0,176.34375
2016-07-11,268079.0,563657.0,177.09375
2016-07-12,195841.0,569730.0,175.84375
2016-07-13,309669.0,589201.0,173.84375
2016-07-14,237374.0,590010.0,174.90625
2016-07-15,281783.0,583883.0,172.9375
2016-07-18,229972.0,594433.0,171.8125
2016-07-19,163391.0,588677.0,171.78125
2016-07-20,160033.0,587793.0,172.375
2016-07-21,146849.0,583148.0,171.34375
2016-07-22,250648.0,581273.0,171.625
2016-07-25,198050.0,570018.0,171.78125
2016-07-26,143499.0,567693.0,171.625
2016-07-27,210506.0,567958.0,171.78125
2016-07-28,234211.0,575308.0,173.53125
2016-07-29,204218.0,572457.0,173.40625
2016-08-01,311543.0,566998.0,174.5625
2016-08-02,217401.0,566906.0,172.6875
2016-08-03,284763.0,562270.0,171.96875
2016-08-04,197900.0,564700.0,172.15625
2016-08-05,216250.0,567502.0,173.3125
2016-08-08,243761.0,572640.0,171.375
2016-08-09,164462.0,575530.0,171.46875
2016-08-10,165914.0,580105.0,172.625
2016-08-11,169021.0,580920.0,173.40625
2016-08-12,198662.0,590034.0,172.03125
2016-08-15,216810.0,592237.0,173.09375
2016-08-16,155379.0,590480.0,171.65625
2016-08-17,259259.0,584791.0,171.1875
2016-08-18,191748.0,582305.0,171.90625
2016-08-19,174254.0,580756.0,172.0
2016-08-22,193746.0,581517.0,170.9375
2016-08-23,189793.0,581625.0,172.34375
2016-08-24,218209.0,545830.0,172.6875
2016-08-25,219823.0,506750.0,172.15625
2016-08-26,425998.0,344722.0,171.6875
2016-08-29,451411.0,241402.0,170.34375
2016-08-30,376807.0,97852.0,172.03125
2016-08-31,223159.0,38363.0,171.84375
2016-09-01,41806.0,25382.0,171.71875
2016-09-02,23105.0,14325.0,171.90625
2016-09-06,13348.0,11340.0,170.84375
2016-09-07,6238.0,9171.0,172.40625
2016-09-08,4084.0,7394.0,172.34375
2016-09-09,3807.0,6810.0,170.21875
2016-09-12,7165.0,3571.0,168.625
2016-09-13,899.0,3273.0,168.65625
2016-09-14,1289.0,2821.0,166.71875
2016-09-15,1167.0,2244.0,167.0
2016-09-16,578.0,2027.0,167.53125
2016-09-19,239.0,1873.0,167.34375
2016-09-20,544.0,1487.0,167.59375
2016-09-21,1105.0,678.0,166.03125
2016-09-22,197.0,566151.0,167.03125
2016-09-23,234024.0,566641.0,167.78125
2016-09-26,154876.0,558828.0,167.875
2016-09-27,165914.0,559572.0,168.4375
2016-09-28,212126.0,563685.0,169.53125
2016-09-29,213586.0,572504.0,169.1875
2016-09-30,239691.0,575712.0,169.53125
2016-10-03,324856.0,565996.0,168.4375
2016-10-04,167992.0,567612.0,167.96875
2016-10-05,281051.0,569075.0,166.375
2016-10-06,256296.0,568461.0,165.84375
2016-10-07,252342.0,568102.0,165.1875
2016-10-10,299913.0,565068.0,165.125
2016-10-11,66999.0,572259.0,164.28125
2016-10-12,230279.0,571404.0,164.125
2016-10-13,226882.0,569912.0,164.34375
2016-10-14,247695.0,566584.0,164.78125
2016-10-17,293944.0,572163.0,163.0625
2016-10-18,209860.0,564798.0,164.0
2016-10-19,245580.0,553990.0,164.46875
2016-10-20,216175.0,555248.0,164.34375
2016-10-21,260421.0,549084.0,164.40625
2016-10-24,181053.0,546052.0,164.96875
2016-10-25,189842.0,555786.0,164.28125
2016-10-26,217938.0,557052.0,164.71875
2016-10-27,230215.0,562346.0,163.8125
2016-10-28,322852.0,564430.0,162.21875
2016-10-31,302471.0,555355.0,162.375
2016-11-01,200824.0,543105.0,162.8125
2016-11-02,311755.0,542988.0,162.8125
2016-11-03,295061.0,538314.0,163.1875
2016-11-04,232144.0,538474.0,162.71875
2016-11-07,243184.0,544411.0,162.6875
2016-11-08,160754.0,547698.0,162.625
2016-11-09,229695.0,542624.0,162.25
2016-11-10,805720.0,564075.0,157.3125
2016-11-11,651340.0,593537.0,155.8125
2016-11-14,124925.0,590748.0,155.28125
2016-11-15,461954.0,592761.0,153.90625
2016-11-16,346631.0,584953.0,154.65625
2016-11-17,346874.0,566062.0,155.21875
2016-11-18,320964.0,567921.0,153.21875
2016-11-21,368859.0,567764.0,152.90625
2016-11-22,277470.0,548579.0,153.75
2016-11-23,382589.0,472044.0,153.4375
2016-11-25,490910.0,352018.0,152.9375
2016-11-28,220008.0,300880.0,153.125
2016-11-29,435461.0,110462.0,153.75
2016-11-30,254833.0,50817.0,154.1875
2016-12-01,78864.0,23416.0,152.34375
2016-12-02,19472.0,16864.0,150.6875
2016-12-05,8417.0,14596.0,152.375
2016-12-06,7610.0,12134.0,151.96875
2016-12-07,3854.0,8994.0,151.6875
2016-12-08,1706.0,8141.0,152.46875
2016-12-09,1947.0,7297.0,150.9375
2016-12-12,1329.0,7110.0,149.625
2016-12-13,1602.0,5915.0,150.1875
2016-12-14,1388.0,2852.0,151.03125
2016-12-15,1107.0,2377.0,149.25
2016-12-16,2340.0,752.0,150.5
2016-12-19,281.0,584.0,149.09375
2016-12-20,339.0,437.0,150.09375
2016-12-21,362.0,592814.0,148.71875
2016-12-22,128058.0,588966.0,149.125
2016-12-23,114866.0,589779.0,148.90625
2016-12-27,64259.0,590687.0,148.96875
2016-12-28,62464.0,594134.0,148.5625
2016-12-29,115149.0,596400.0,149.65625
2016-12-30,115761.0,597654.0,149.875
2017-01-03,131638.0,601847.0,150.21875
2017-01-04,306369.0,604566.0,150.625
2017-01-05,198678.0,601524.0,150.90625
2017-01-06,327493.0,614490.0,152.875
2017-01-09,263629.0,619608.0,151.71875
2017-01-10,167099.0,620862.0,152.8125
2017-01-11,172420.0,621671.0,152.65625
2017-01-12,279676.0,618103.0,152.8125
2017-01-13,294848.0,615662.0,152.59375
2017-01-17,280753.0,616589.0,152.0625
2017-01-18,293175.0,615219.0,153.28125
2017-01-19,223393.0,618563.0,151.375
2017-01-20,310818.0,627417.0,150.78125
2017-01-23,261546.0,619942.0,150.78125
2017-01-24,266652.0,616992.0,152.0625
2017-01-25,201832.0,613519.0,150.84375
2017-01-26,246039.0,615850.0,149.6875
2017-01-27,192428.0,615872.0,149.90625
2017-01-30,189238.0,611313.0,150.46875
2017-01-31,234427.0,614032.0,150.15625
2017-02-01,328036.0,612420.0,150.6875
2017-02-02,269776.0,614036.0,150.53125
2017-02-03,264480.0,608886.0,150.5
2017-02-06,310725.0,616563.0,150.40625
2017-02-07,246926.0,614157.0,151.53125
2017-02-08,262198.0,618773.0,152.15625
2017-02-09,322460.0,622929.0,153.5
2017-02-10,295230.0,629826.0,152.28125
2017-02-13,276466.0,628054.0,151.84375
2017-02-14,153399.0,628110.0,151.3125
2017-02-15,270600.0,624904.0,150.75
2017-02-16,270893.0,629206.0,150.09375
2017-02-17,267569.0,616055.0,150.78125
2017-02-21,183471.0,609874.0,151.4375
